S.No,Course Number,Prof,Dept,Students,Year,Sem
412,MBA601A,B V PHANI,IME,58,2019-20,1
413,MBA601A,SUMAN SAURABH,IME,58,2019-20,1
414,MBA606A,ANOOP SINGH,IME,57,2019-20,1
415,MBA611A,RAHUL VARMAN,IME,58,2019-20,1
416,MBA623A,R R K SHARMA,IME,53,2019-20,1
417,MBA631A,AMIT SHUKLA,IME,52,2019-20,1
418,MBA634A,DEVLINA CHATTERJEE,IME,47,2019-20,1
419,MBA647A,SUBHAS CHANDRA MISRA,IME,39,2019-20,1
420,MBA651A,FAIZ HAMID,IME,56,2019-20,1
421,MBA664A,VIPIN B,IME,49,2019-20,1
422,MBA666A,RAGHU NANDAN SENGUPTA,IME,25,2019-20,1
423,MBA671A,DEEPU PHILIP,IME,8,2019-20,1
424,MBA697A,RAHUL VARMAN,IME,0,2019-20,1
425,MBA698A,RAHUL VARMAN,IME,106,2019-20,1
426,MBA701A,RAHUL VARMAN,IME,53,2019-20,1
427,MBA712A,AMIT SHUKLA,IME,15,2019-20,1
428,MBA713A,AMIT SHUKLA,IME,16,2019-20,1
429,MBA717A,RAHUL VARMAN,IME,20,2019-20,1
430,MBA749A,SHANKAR PRAWESH,IME,27,2019-20,1
431,MBA772A,SUMAN SAURABH,IME,37,2019-20,1
432,MBA774A,B V PHANI,IME,9,2019-20,1
433,MBA776A,SUMAN SAURABH,IME,24,2019-20,1
434,MBA777A,B V PHANI,IME,6,2019-20,1
453,ME251A,P VENKITANARAYANAN,ME,120,2019-20,1
454,ME301A,PRANAV RAMKRISHNA JOSHI,ME,135,2019-20,1
455,ME321A,ISHAN SHARMA,ME,112,2019-20,1
456,ME340A,SAMEER KHANDEKAR,ME,12,2019-20,1
457,ME352A,ANINDYA CHATTERJEE,ME,117,2019-20,1
458,ME361A,JANAKARAJAN RAMKUMAR,ME,110,2019-20,1
459,ME361A,SUPRATIK MUKHOPADHYAY,ME,110,2019-20,1
460,ME399A,B BHATTACHARYA,ME,112,2019-20,1
461,ME401A,ADITYA SAURABH,ME,101,2019-20,1
462,ME401A,SUBRATA SARKAR,ME,101,2019-20,1
463,ME451A,B BHATTACHARYA,ME,97,2019-20,1
464,ME452A,B BHATTACHARYA,ME,1,2019-20,1
465,ME498A,ASHISH DUTTA,ME,3,2019-20,1
466,ME621A,CHANDRAPRAKASH CHINDAM,ME,46,2019-20,1
467,ME623A,NACHIKETA TIWARI,ME,53,2019-20,1
468,ME625A,N S VYAS,ME,55,2019-20,1
469,ME626A,SHAKTI SINGH GUPTA,ME,5,2019-20,1
470,ME630A,K MURALIDHAR,ME,22,2019-20,1
471,ME631A,GAUTAM BISWAS,ME,61,2019-20,1
472,ME631A,SUBRATA SARKAR,ME,61,2019-20,1
473,ME641A,P S GHOSHDASTIDAR,ME,68,2019-20,1
474,ME645A,JISHNU BHATTACHARYA,ME,39,2019-20,1
475,ME647A,SACHIN Y SHINDE,ME,6,2019-20,1
476,ME661A,S K CHOUDHURY,ME,13,2019-20,1
477,ME662A,SHANTANU BHATTACHARYA,ME,13,2019-20,1
478,ME670A,ARVIND KUMAR,ME,10,2019-20,1
479,ME676A,ANUPAM SAXENA,ME,4,2019-20,1
480,ME681A,MALAY KUMAR DAS,ME,145,2019-20,1
481,ME685A,RAMESH NARAYANASWAMY,ME,24,2019-20,1
482,ME690A,AVINASH KUMAR AGARWAL,ME,18,2019-20,1
483,ME698M,ARUN KUMAR SAHA,ME,5,2019-20,1
484,ME698U,ANURAG GUPTA,ME,5,2019-20,1
485,ME699,SAMEER KHANDEKAR,ME,89,2019-20,1
486,ME699,ASHISH DUTTA,ME,89,2019-20,1
487,ME701A,NIRAJ SINHA,ME,6,2019-20,1
488,ME762A,BHASKAR DASGUPTA,ME,57,2019-20,1
489,ME766A,ASHISH DUTTA,ME,78,2019-20,1
490,ME778A,AKHILESH MIMANI,ME,5,2019-20,1
491,ME799,SAMEER KHANDEKAR,ME,152,2019-20,1
492,ME899,SAMEER KHANDEKAR,ME,19,2019-20,1
494,MS601A,RAJEEV GUPTA,MS,21,2019-20,1
495,MS601A,RAJ GANESH S PALA,MS,21,2019-20,1
496,MS602A,Y N MOHAPATRA,MS,21,2019-20,1
497,MS602A,MD JALEEL AKHTAR,MS,21,2019-20,1
